,Capitolo,Parola,Traduzione,tfidf
0,01,negro,black,0.14785276010520768
1,01,alto,high,0.13860875192198502
2,01,viejo,old,0.12051924749053258
3,01,noble,noble,0.11660197276724274
4,01,robusto,robust,0.10041865712762062
5,02,arabesco,arabesque,0.1285830010999461
6,02,barroco,baroque,0.1285830010999461
7,02,galante,gallant,0.1285830010999461
8,02,genial,brilliant,0.1285830010999461
9,02,ojuelo,eyelet,0.1285830010999461
10,03,blanco,white,0.25015346891681434
11,03,disolvente,solvent,0.2170387563161327
12,03,azafranado,saffron,0.14469250421075514
13,03,cha,cha,0.14469250421075514
14,03,habladoro,talkative,0.14469250421075514
15,04,inglés,English,0.20899985101692717
16,04,apasionado,passionate,0.17026334479657665
17,04,italiano,Italian,0.15641910374867155
18,04,seco,dry,0.12302778900883092
19,04,clásico,classic,0.12084417335989045
20,05,aristócrata,aristocrat,0.20733545384019672
21,05,tronado,thundered,0.1815252408794673
22,05,pobre,poor,0.15457419983314627
23,05,mayor,elderly,0.15246157295612053
24,05,noble,noble,0.14879590173724475
25,06,político,political,0.175858941067151
26,06,provincial,provincial,0.16498980552871856
27,06,sajón,Saxon,0.13500933324150308
28,06,inferior,lower,0.12108931241893478
29,06,asiduo,regular,0.12037583553824183
30,07,personal,staff,0.2159170879813054
31,07,seguro,sure,0.18941825980557123
32,07,casado,married,0.18671417067709295
33,07,político,political,0.17873503336936264
34,07,elegante,elegant,0.14778123417879643
35,08,culinario,culinary,0.21813617633132915
36,08,amarillo,yellow,0.19557850240336086
37,08,mejor,better,0.15211949780681894
38,08,puro,pure,0.12715080342391907
39,08,electoral,electoral,0.11959292378161937
40,09,fácil,easy,0.13106784047392658
41,09,celestial,heavenly,0.12869794504515303
42,09,hortero,tacky,0.11363191646816403
43,09,oblicuo,oblique,0.11363191646816403
44,09,interesante,interesting,0.11354794706562976
45,10,feliz,happy,0.17609938789212456
46,10,argentino,Argentinian,0.15860364517133319
47,10,necio,foolish,0.1497415777425164
48,10,despedazado,torn to pieces,0.1414127886459408
49,10,empedrado,paved,0.1414127886459408
50,11,espiritual,spiritual,0.17208165055992697
51,11,negro,black,0.1694421588421078
52,11,fuerte,strong,0.14319520109795944
53,11,puro,pure,0.14037704067882395
54,11,infalible,infallible,0.13203298976114664
55,12,olvido,forgot,0.2848340364668545
56,12,eclesiástico,ecclesiastical,0.2325777945112802
57,12,religioso,religious,0.1534012897486533
58,12,libre,free,0.13000812557949726
59,12,pobre,poor,0.1286978748299032
60,13,convidado,invited,0.4052419880076573
61,13,elegante,elegant,0.19125713814195835
62,13,alto,high,0.14241623713967339
63,13,gracioso,funny,0.13235462884103466
64,13,fino,fine,0.11769670039505128
65,14,solitario,lonely,0.1750749194713784
66,14,borracho,drunk,0.15731321345469856
67,14,rico,rich,0.1569656758347111
68,14,abrigado,sheltered,0.14059011153166165
69,14,inopinado,unexpected,0.14059011153166165
70,15,alto,high,0.16724316866280203
71,15,miserable,miserable,0.1625752619242935
72,15,sereno,serene,0.13620898653762473
73,15,fuerte,strong,0.12898594028196392
